"RelativePath","Extension","SizeMB","LastWriteTime"
"CAD\X Gantry Assy\Ender3S1_assembled.SLDASM.SLDASM",".SLDASM","10.473","10/19/2025 10:07:12 PM"
"CAD\X Gantry Assy\Ender3S1_Bed_ASSY.SLDASM.SLDASM",".SLDASM","0.026","10/19/2025 10:07:11 PM"
"CAD\X Gantry Assy\EVA3 X Gantry Non-Drive Sub Assy.SLDASM",".SLDASM","0.263","7/15/2026 3:26:27 PM"
"CAD\X Gantry Assy\FI_top_endstop_fi MGN12H.SLDPRT",".SLDPRT","0.221","2/8/2025 2:45:41 PM"
"CAD\X Gantry Assy\front_universal_fi.SLDPRT",".SLDPRT","0.334","4/30/2024 3:21:37 PM"
"CAD\X Gantry Assy\gear shaft.SLDPRT",".SLDPRT","0.086","1/30/2024 6:43:35 PM"
"CAD\X Gantry Assy\Hall Effect sensor.SLDPRT",".SLDPRT","0.299","1/31/2024 5:42:10 PM"
"CAD\X Gantry Assy\Hotend Volcano J-head V6.SLDASM",".SLDASM","0.186","10/19/2025 9:54:42 PM"
"CAD\X Gantry Assy\Housing.SLDPRT",".SLDPRT","0.309","1/30/2024 6:43:37 PM"
"CAD\X Gantry Assy\HW_Nut_M5_Steel_Self locking.SLDPRT",".SLDPRT","0.108","1/31/2024 6:13:11 PM"
"CAD\X Gantry Assy\HW_Screw_FH_M3,5_x_30.SLDPRT",".SLDPRT","0.141","1/31/2024 8:01:36 PM"
"CAD\X Gantry Assy\HW_Screw_Flathead_M3x0,5x40.SLDPRT",".SLDPRT","0.039","6/2/2023 3:09:40 PM"
"CAD\X Gantry Assy\HW_Screw_Flathead_M3x0,5x8.SLDPRT",".SLDPRT","0.104","1/31/2024 8:01:40 PM"
"CAD\X Gantry Assy\HW_Screw_Hex_M3_x_20.SLDPRT",".SLDPRT","0.128","1/31/2024 8:01:45 PM"
"CAD\X Gantry Assy\HW_Screw_Hex_M3_x_6.SLDPRT",".SLDPRT","0.139","1/31/2024 8:01:49 PM"
"CAD\X Gantry Assy\HW_Screw_ISO_7380-1_-_M3_x_16.SLDPRT",".SLDPRT","0.131","1/31/2024 8:01:22 PM"
"CAD\X Gantry Assy\HW_Screw_M3_x_0,5_x_16.SLDPRT",".SLDPRT","0.094","1/31/2024 8:01:22 PM"
"CAD\X Gantry Assy\HW_Screw_M5x40.SLDPRT",".SLDPRT","0.123","1/31/2024 6:13:07 PM"
"CAD\X Gantry Assy\HW_Screw_Pan Head_M3x10_ISO_7380-1.SLDPRT",".SLDPRT","0.138","1/31/2024 8:01:52 PM"
"CAD\X Gantry Assy\HW_Screw_Pan Head_M3x8_ISO_7380-1.SLDPRT",".SLDPRT","0.142","1/31/2024 8:01:52 PM"
"CAD\X Gantry Assy\HW_Screw_PH_5x30.SLDPRT",".SLDPRT","0.129","1/31/2024 8:01:54 PM"
"CAD\X Gantry Assy\HW_Screw_PH_M4_x_12.SLDPRT",".SLDPRT","0.134","1/31/2024 8:01:54 PM"
"CAD\X Gantry Assy\HW_SetScrew_Steel_AS_1421_-_M3_x_4.SLDPRT",".SLDPRT","0.092","1/31/2024 8:01:29 PM"
"CAD\X Gantry Assy\Impeller20.SLDPRT",".SLDPRT","3.039","1/31/2024 5:42:09 PM"
"CAD\X Gantry Assy\left side z bracket.SLDPRT",".SLDPRT","0.397","10/19/2025 9:53:58 PM"
"CAD\X Gantry Assy\Lever.SLDPRT",".SLDPRT","0.1","1/30/2024 6:43:34 PM"
"CAD\X Gantry Assy\Linear Rail Mount Plate^EVA3 X Gantry Assy.SLDPRT",".SLDPRT","0.056","2/12/2025 4:01:04 PM"
"CAD\X Gantry Assy\Linear Rail Plate.SLDPRT",".SLDPRT","0.055","1/30/2024 6:00:04 PM"
"CAD\X Gantry Assy\Magnet 20.SLDPRT",".SLDPRT","0.063","1/31/2024 5:42:18 PM"
"CAD\X Gantry Assy\Magnetic screen.SLDPRT",".SLDPRT","0.083","1/31/2024 5:42:06 PM"
"CAD\X Gantry Assy\MGN12 LINEAR GUIDE RAIL, CONFIGURABLE.SLDPRT",".SLDPRT","0.185","1/30/2024 6:21:30 PM"
"CAD\X Gantry Assy\MGN12 LINEAR GUIDE SUBASSEMBLY.SLDASM",".SLDASM","0.283","10/20/2025 4:03:43 PM"
"CAD\X Gantry Assy\MGN12H Block.SLDPRT",".SLDPRT","0.066","1/30/2024 6:00:06 PM"
"CAD\X Gantry Assy\MGN12H Rail.SLDPRT",".SLDPRT","0.056","1/30/2024 6:00:05 PM"
"CAD\X Gantry Assy\MGN12H, LINEAR GUIDE BLOCK.SLDPRT",".SLDPRT","0.422","1/30/2024 6:17:46 PM"
"CAD\X Gantry Assy\NEMA-17 stepper motor mockup (32mm).SLDASM",".SLDASM","1.387","10/19/2025 8:27:25 PM"
"CAD\X Gantry Assy\NF-A4x20.IGS",".IGS","38.026","6/15/2022 1:30:16 PM"
"CAD\X Gantry Assy\NF-A4x20.SLDASM",".SLDASM","3.007","10/19/2025 9:54:43 PM"
"CAD\X Gantry Assy\Oil Bearing.SLDASM",".SLDASM","0.093","10/19/2025 9:54:43 PM"
"CAD\X Gantry Assy\Oil.SLDPRT",".SLDPRT","0.047","1/31/2024 5:42:17 PM"
"CAD\X Gantry Assy\pan cross head_am_B18.6.7M - M2.5 x 0.45 x 6 Type I Cross Recessed PHMS --6N.SLDPRT",".SLDPRT","0.099","1/31/2024 8:01:24 PM"
"CAD\X Gantry Assy\pan cross head_am_B18.6.7M - M3 x 0.5 x 16 Type I Cross Recessed PHMS --16N.SLDPRT",".SLDPRT","0.095","1/31/2024 6:13:10 PM"
